Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gv_hr_perf_hed,hfa_staff_absenteeism_and_performance_review,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Performance Review</div>",,,,,,,,,,,,,
gv_hr_perf_hi_new,hfa_staff_absenteeism_and_performance_review,,checkbox,Is there any formal system for recognising or rewarding well performing clinical staff?,"0, Staff are not rewarded | 1, Financial bonuses are given | 2, Other material benefits are given | 3, Non‐material ""status"" awards are given",Select all that apply.,,,,,,y,,,,, @NONEOFTHEABOVE=0
gv_hr_perf_lo,hfa_staff_absenteeism_and_performance_review,,checkbox,Which of the following actions have been taken for poorly performing clinical staff?,"0, No action taken in past 6 months | 1, Staff reassigned in past month | 5, Staff dismissed in past month | 2, Staff reassigned in past 6 months | 6, Staff dismissed in past 6 months  | 3, Staff have faced other disciplinary action in past month | 4, Staff have faced other disciplinary action in past 6 months ",Select all that apply.,,,,,,y,,,,, @NONEOFTHEABOVE=0
gv_hr_trn_nu,hfa_staff_absenteeism_and_performance_review,,yesno,Do you have a training plan in place to improve the skills of your health workers on the neonatal unit?,,Observe written plan.,,,,,,y,,,,,
gv_hr_trn,hfa_staff_absenteeism_and_performance_review,,yesno,Do individual staff have detailed training plans?,,,,,,,,y,,,,,
gv_hr_hed_4,hfa_staff_absenteeism_and_performance_review,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_hr_com,hfa_staff_absenteeism_and_performance_review,,notes,Comments:,,,,,,,,,,,,,
gv_aud_hed_1,hfa_clinical_audit_and_management_meetings,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_aud_ban_1,hfa_clinical_audit_and_management_meetings,,descriptive,,,,,,,,,,,,,,
gv_aud_hed_2,hfa_clinical_audit_and_management_meetings,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Clinical Audit and Management Meetings</div>",,,,,,,,,,,,,
gv_aud_ins_1,hfa_clinical_audit_and_management_meetings,,descriptive,"<p style=""font-weight:normal""><i><b><b>Instructions:</b> Direct these questions to the hospital administrator. For some questions, you will need to ask and observe the staff or specific items/spaces at the facility. Please do not leave any variable blank. If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields.<br>
<b>Prompt:</b> “I'd like to ask you a few questions on clinical audit and management meetings.”</i></p>",,,,,,,,,,,,,
gv_aud_hed_3,hfa_clinical_audit_and_management_meetings,,descriptive,"<div style=""background-color:#82cdbf;padding:10px""></div>",,,,,,,,,,,,,
gv_aud_rp_num,hfa_clinical_audit_and_management_meetings,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
gv_aud_rp_hed_1,hfa_clinical_audit_and_management_meetings,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[gv_aud_rp_num] >= 1,,,,,,
gv_aud_rp_nam_1,hfa_clinical_audit_and_management_meetings,,text,Respondent Name (First and Last):,,,,,,y,[gv_aud_rp_num] >= 1,y,,,,,
gv_aud_rp_pos_1,hfa_clinical_audit_and_management_meetings,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 8, Nurse-in-charge | 3, Data Clerk | 7, HRIO | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_aud_rp_num] >= 1,y,,,,,
gv_aud_rp_othpos_1,hfa_clinical_audit_and_management_meetings,,text,"If other position, please specify: ",,,,,,,[gv_aud_rp_pos_1] = '99',,,,,,
gv_aud_rp_ph_1,hfa_clinical_audit_and_management_meetings,,text,Respondent Phone Number:,,,,,,y,[gv_aud_rp_num] >= 1,,,,,,
gv_aud_rp_hed_2,hfa_clinical_audit_and_management_meetings,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #2</div>",,,,,,,[gv_aud_rp_num] >= 2,,,,,,
gv_aud_rp_nam_2,hfa_clinical_audit_and_management_meetings,,text,Respondent Name (First and Last):,,,,,,y,[gv_aud_rp_num] >= 2,,,,,,
gv_aud_rp_pos_2,hfa_clinical_audit_and_management_meetings,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 8, Nurse-in-charge | 3, Data Clerk | 7, HRIO | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_aud_rp_num] >= 2,,,,,,
gv_aud_rp_othpos_2,hfa_clinical_audit_and_management_meetings,,text,"If other position, please specify: ",,,,,,,[gv_aud_rp_pos_2] = '99',,,,,,
gv_aud_rp_ph_2,hfa_clinical_audit_and_management_meetings,,text,Respondent Phone Number:,,,,,,y,[gv_aud_rp_num] >= 2,,,,,,
